iter	Passed	Remaining
0	143	143482
1	144	72207
2	145	48377
3	146	36402
4	146	29214
5	147	24432
6	148	21011
7	148	18441
8	149	16443
9	149	14839
10	150	13527
11	151	12474
12	154	11700
13	155	10931
14	156	10256
15	156	9653
16	157	9120
17	158	8644
18	159	8228
19	160	7845
20	160	7491
21	161	7170
22	161	6875
23	162	6606
24	163	6358
25	163	6128
26	164	5916
27	164	5719
28	165	5535
29	165	5366
30	168	5271
31	170	5142
32	171	5010
33	171	4885
34	172	4759
35	173	4637
36	173	4522
37	174	4413
38	174	4309
39	175	4211
40	176	4117
41	176	4029
42	177	3944
43	177	3862
44	178	3785
45	178	3711
46	179	3640
47	180	3571
48	180	3506
49	181	3444
50	183	3411
51	184	3362
52	185	3315
53	186	3265
54	187	3216
55	187	3167
56	188	3122
57	189	3082
58	190	3037
59	191	2992
60	191	2949
61	192	2907
62	192	2866
63	193	2827
64	193	2788
65	194	2752
66	195	2716
67	195	2681
68	196	2648
69	197	2621
70	199	2609
71	200	2586
72	201	2562
73	202	2535
74	203	2507
75	204	2481
76	205	2461
77	206	2436
78	206	2409
79	207	2383
80	207	2357
81	208	2332
82	208	2305
83	209	2282
84	209	2260
85	210	2237
86	211	2215
87	211	2194
88	214	2192
89	215	2183
90	217	2170
91	218	2155
92	219	2137
93	219	2119
94	221	2106
95	221	2089
96	222	2070
97	223	2052
98	223	2035
99	224	2017
100	224	2000
101	225	1983
102	225	1967
103	226	1951
104	227	1935
105	229	1933
106	230	1926
107	232	1916
108	232	1904
109	233	1891
110	234	1878
111	235	1869
112	236	1856
113	237	1846
114	238	1833
115	238	1819
116	239	1805
117	239	1792
118	240	1779
119	240	1766
120	241	1754
121	241	1741
122	242	1729
123	244	1729
124	245	1721
125	247	1714
126	247	1703
127	248	1693
128	249	1683
129	250	1677
130	251	1667
131	252	1657
132	252	1646
133	253	1636
134	253	1625
135	254	1615
136	254	1605
137	255	1595
138	256	1585
139	256	1576
140	257	1567
141	258	1558
142	260	1559
143	261	1554
144	262	1547
145	263	1540
146	264	1532
147	264	1524
148	266	1522
149	267	1514
150	267	1506
151	268	1497
152	269	1489
153	269	1480
154	270	1472
155	270	1464
156	271	1456
157	271	1449
158	272	1441
159	274	1443
160	276	1438
161	277	1433
162	278	1428
163	279	1422
164	279	1415
165	280	1408
166	281	1404
167	282	1397
168	282	1390
169	283	1383
170	283	1376
171	284	1369
172	285	1362
173	285	1356
174	286	1349
175	286	1343
176	287	1336
177	289	1336
178	291	1338
179	292	1334
180	294	1330
181	295	1327
182	296	1324
183	297	1320
184	298	1317
185	300	1313
186	301	1311
187	302	1308
188	305	1311
189	307	1309
190	308	1306
191	309	1303
192	310	1298
193	311	1293
194	312	1291
195	313	1286
196	314	1283
197	315	1278
198	316	1272
199	316	1267
200	317	1261
201	317	1256
202	318	1251
203	321	1253
204	322	1251
205	324	1249
206	325	1246
207	327	1245
208	329	1247
209	330	1243
210	331	1238
211	331	1233
212	332	1228
213	333	1223
214	334	1220
215	337	1223
216	338	1221
217	339	1218
218	341	1216
219	342	1212
220	343	1210
221	343	1205
222	344	1200
223	345	1195
224	345	1190
225	346	1185
226	346	1181
227	347	1177
228	348	1173
229	349	1168
230	349	1163
231	352	1166
232	353	1164
233	354	1161
234	355	1157
235	356	1154
236	357	1150
237	357	1145
238	358	1140
239	358	1136
240	359	1132
241	360	1128
242	360	1124
243	361	1120
244	362	1115
245	362	1111
246	363	1107
247	363	1103
248	364	1099
249	365	1095
250	368	1100
251	369	1096
252	370	1093
253	370	1089
254	371	1085
255	372	1081
256	373	1078
257	373	1074
258	374	1071
259	374	1067
260	375	1063
261	376	1059
262	376	1055
263	377	1051
264	377	1047
265	378	1044
266	378	1040
267	379	1036
268	382	1038
269	383	1036
270	384	1034
271	385	1032
272	386	1029
273	387	1025
274	387	1022
275	388	1019
276	389	1017
277	390	1014
278	391	1011
279	392	1008
280	392	1004
281	393	1001
282	394	998
283	394	995
284	396	995
285	398	994
286	399	993
287	401	991
288	402	989
289	402	986
290	403	983
291	404	980
292	405	978
293	406	975
294	406	972
295	407	968
296	407	965
297	408	962
298	409	959
299	409	956
300	411	955
301	413	954
302	414	953
303	415	951
304	416	948
305	417	947
306	418	945
307	419	942
308	420	940
309	421	937
310	421	934
311	422	931
312	422	928
313	424	927
314	425	924
315	426	924
316	428	922
317	429	921
318	430	919
319	431	916
320	431	913
321	432	911
322	433	909
323	434	906
324	434	903
325	435	901
326	436	898
327	437	895
328	437	892
329	438	890
330	439	887
331	439	884
332	442	886
333	443	884
334	444	882
335	445	880
336	446	877
337	446	875
338	447	873
339	448	871
340	449	869
341	450	867
342	452	866
343	457	871
344	458	871
345	460	870
346	461	867
347	462	866
348	463	864
349	464	862
350	464	859
351	465	857
352	466	855
353	467	853
354	468	851
355	469	850
356	473	852
357	474	851
358	475	849
359	476	847
360	477	845
361	478	843
362	479	841
363	480	839
364	481	838
365	482	836
366	483	834
367	484	832
368	485	829
369	489	833
370	490	831
371	491	830
372	493	828
373	494	827
374	495	825
375	496	823
376	497	821
377	497	819
378	500	819
379	504	823
380	506	822
381	507	821
382	508	819
383	509	818
384	510	815
385	511	813
386	512	811
387	513	810
388	514	808
389	515	806
390	516	804
391	522	809
392	523	808
393	524	806
394	527	807
395	527	805
396	528	802
397	529	801
398	531	800
399	536	805
400	538	804
401	539	802
402	540	800
403	541	798
404	542	796
405	542	794
406	543	791
407	544	789
408	544	787
409	545	785
410	546	782
411	547	780
412	547	778
413	549	778
414	551	777
415	553	776
416	554	775
417	555	773
418	556	771
419	556	769
420	589	810
421	591	809
422	592	807
423	593	806
424	594	804
425	595	802
426	596	800
427	598	800
428	619	824
429	620	822
430	621	820
431	622	818
432	622	815
433	624	814
434	625	811
435	625	809
436	635	819
437	636	817
438	637	815
439	638	813
440	639	810
441	640	808
442	641	806
443	641	803
444	642	801
445	643	799
446	643	796
447	644	794
448	645	792
449	646	790
450	647	788
451	648	786
452	649	784
453	650	781
454	650	779
455	651	776
456	651	774
457	652	772
458	652	769
459	653	767
460	654	764
461	654	762
462	655	759
463	655	757
464	656	755
465	656	752
466	657	750
467	658	748
468	658	745
469	659	743
470	659	741
471	660	739
472	661	737
473	662	735
474	663	733
475	663	730
476	664	728
477	665	726
478	665	723
479	666	721
480	666	719
481	667	717
482	667	714
483	668	712
484	668	710
485	669	708
486	670	705
487	670	703
488	671	701
489	671	699
490	672	697
491	672	694
492	673	692
493	674	690
494	674	688
495	675	686
496	677	685
497	677	683
498	678	681
499	679	679
500	679	676
501	680	674
502	680	672
503	681	670
504	682	668
505	682	666
506	683	664
507	683	662
508	684	660
509	684	658
510	685	656
511	686	654
512	687	652
513	687	650
514	688	648
515	689	646
516	689	644
517	690	642
518	690	640
519	693	640
520	694	638
521	695	636
522	696	635
523	697	633
524	698	631
525	699	630
526	699	628
527	700	626
528	700	624
529	701	622
530	702	620
531	702	618
532	703	616
533	704	614
534	705	612
535	705	611
536	706	609
537	707	607
538	708	606
539	709	604
540	709	602
541	710	600
542	711	598
543	712	597
544	712	595
545	713	593
546	713	591
547	714	589
548	715	587
549	715	585
550	716	583
551	716	581
552	717	580
553	718	578
554	719	576
555	719	574
556	720	573
557	721	571
558	721	569
559	723	568
560	724	567
561	725	565
562	725	563
563	726	561
564	727	559
565	727	557
566	728	556
567	728	554
568	729	552
569	729	550
570	730	548
571	731	547
572	732	546
573	733	544
574	735	543
575	737	542
576	738	541
577	739	540
578	740	538
579	741	536
580	742	535
581	743	533
582	743	532
583	744	530
584	745	529
585	746	527
586	749	527
587	750	525
588	750	523
589	751	522
590	752	520
591	754	519
592	755	518
593	757	517
594	758	516
595	758	514
596	759	512
597	760	511
598	760	509
599	761	507
600	761	505
601	762	504
602	763	502
603	764	500
604	764	499
605	765	497
606	765	495
607	766	494
608	766	492
609	767	490
610	770	490
611	771	489
612	772	487
613	773	486
614	774	484
615	775	483
616	776	482
617	777	480
618	777	478
619	778	477
620	779	475
621	779	473
622	780	472
623	780	470
624	781	468
625	782	467
626	783	465
627	785	465
628	787	464
629	789	463
630	789	461
631	790	460
632	791	459
633	792	457
634	793	455
635	793	454
636	794	452
637	794	450
638	795	449
639	796	448
640	797	446
641	797	444
642	798	443
643	800	442
644	802	441
645	804	440
646	804	439
647	805	437
648	806	436
649	808	435
650	809	434
651	810	432
652	810	430
653	811	429
654	811	427
655	812	426
656	813	424
657	813	422
658	814	421
659	819	422
660	820	420
661	821	419
662	823	418
663	824	417
664	825	415
665	825	414
666	826	412
667	826	411
668	828	409
669	828	408
670	829	406
671	832	406
672	834	405
673	836	404
674	836	402
675	837	401
676	838	400
677	839	398
678	840	397
679	841	395
680	842	394
681	842	393
682	843	391
683	844	389
684	844	388
685	845	387
686	849	386
687	850	385
688	851	384
689	852	382
690	852	381
691	854	380
692	855	378
693	856	377
694	856	376
695	857	374
696	858	373
697	858	371
698	859	369
699	860	368
700	862	367
701	864	366
702	865	365
703	867	364
704	868	363
705	868	361
706	869	360
707	870	358
708	870	357
709	871	355
710	872	354
711	872	353
712	873	351
713	874	350
714	875	348
715	875	347
716	879	347
717	881	346
718	882	344
719	883	343
720	883	342
721	885	340
722	886	339
723	886	338
724	887	336
725	888	335
726	888	333
727	889	332
728	889	330
729	890	329
730	892	328
731	894	327
732	896	326
733	897	325
734	898	323
735	899	322
736	900	321
737	900	319
738	903	319
739	904	317
740	905	316
741	905	314
742	906	313
743	907	312
744	908	311
745	910	309
746	911	308
747	912	307
748	913	305
749	913	304
750	914	303
751	914	301
752	915	300
753	916	298
754	916	297
755	917	296
756	917	294
757	918	293
758	918	291
759	919	290
760	920	288
761	920	287
762	921	286
763	921	284
764	923	283
765	924	282
766	924	280
767	925	279
768	926	278
769	926	276
770	927	275
771	928	274
772	928	272
773	929	271
774	929	269
775	930	268
776	930	267
777	931	265
778	932	264
779	932	263
780	933	261
781	933	260
782	934	258
783	935	257
784	935	256
785	936	254
786	936	253
787	938	252
788	940	251
789	941	250
790	941	248
791	942	247
792	943	246
793	944	245
794	945	243
795	945	242
796	946	241
797	947	239
798	947	238
799	948	237
800	948	235
801	949	234
802	949	233
803	950	231
804	950	230
805	951	229
806	952	227
807	953	226
808	954	225
809	955	224
810	956	222
811	957	221
812	958	220
813	958	219
